,Rank,Geographic Area,City,State,June2020,2020,2021,2022,long,lat
0,1,"New York city, New York",New York,New York,8804194,8740647,8459001,8335897,-74.0060152,40.7127281
1,2,"Los Angeles city, California",Los Angeles,California,3898767,3895836,3837986,3822238,-118.242766,34.0536909
2,3,"Chicago city, Illinois",Chicago,Illinois,2746352,2740076,2698029,2665039,-87.6244212,41.8755616
3,4,"Houston city, Texas",Houston,Texas,2301572,2299867,2291655,2302878,-95.3676974,29.7589382
4,5,"Phoenix city, Arizona",Phoenix,Arizona,1608190,1612337,1625356,1644409,-112.074141,33.4484367
5,6,"Philadelphia city, Pennsylvania",Philadelphia,Pennsylvania,1603799,1600600,1589480,1567258,-75.1635262,39.9527237
6,7,"San Antonio city, Texas",San Antonio,Texas,1434367,1439225,1454020,1472909,-98.4951405,29.4246002
7,8,"San Diego city, California",San Diego,California,1386960,1386872,1374484,1381162,-117.1627728,32.7174202
8,9,"Dallas city, Texas",Dallas,Texas,1304317,1303641,1290711,1299544,-96.7968559,32.7762719
9,10,"Austin city, Texas",Austin,Texas,961900,965768,969343,974447,-97.7436995,30.2711286
10,11,"Jacksonville city, Florida",Jacksonville,Florida,949616,951707,956911,971319,-81.655651,30.3321838
11,12,"San Jose city, California",San Jose,California,1013221,1009830,981466,971233,-121.890591,37.3361663
12,13,"Fort Worth city, Texas",Fort Worth,Texas,918937,923576,937539,956709,-97.3327459,32.753177
13,14,"Columbus city, Ohio",Columbus,Ohio,905839,906266,903051,907971,-83.0007065,39.9622601
14,15,"Charlotte city, North Carolina",Charlotte,North Carolina,874607,875115,882503,897720,-80.8430827,35.2272086
15,16,"Indianapolis city (balance), Indiana",Indianapolis,Indiana,887661,887153,882420,880621,-86.1583502,39.7683331
16,17,"San Francisco city, California",San Francisco,California,873959,870393,811253,808437,-122.419906,37.7790262
17,18,"Seattle city, Washington",Seattle,Washington,737018,740520,731507,749256,-122.330062,47.6038321
18,19,"Denver city, Colorado",Denver,Colorado,715538,717556,711323,713252,-104.984862,39.7392364
19,20,"Oklahoma City city, Oklahoma",Oklahoma City,Oklahoma,681084,683024,688361,694800,-97.5170536,35.4729886
20,21,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,Tennessee,689454,689725,678134,683622,-86.7742984,36.1622767
21,22,"El Paso city, Texas",El Paso,Texas,678697,679040,678475,677456,-106.4882345,31.7550511
22,23,"Washington city, District of Columbia",Washington,District of Columbia,689546,670868,668791,671803,-77.0365427,38.8950368
23,24,"Las Vegas city, Nevada",Las Vegas,Nevada,644866,646737,650770,656274,-115.148516,36.1672559
24,25,"Boston city, Massachusetts",Boston,Massachusetts,675632,671570,654537,650706,-71.060511,42.3554334
25,26,"Portland city, Oregon",Portland,Oregon,652518,653294,643375,635067,-122.674194,45.5202471
26,27,"Louisville/Jefferson County metro government (balance), Kentucky",Louisville,Kentucky,632550,632441,627709,624444,-85.759407,38.2542376
27,28,"Memphis city, Tennessee",Memphis,Tennessee,631539,631168,625982,621056,-90.0517638,35.1460249
28,29,"Detroit city, Michigan",Detroit,Michigan,639115,637342,628167,620376,-83.0466403,42.3315509
29,30,"Baltimore city, Maryland",Baltimore,Maryland,585693,583139,576981,569931,-76.610759,39.2908816
30,31,"Milwaukee city, Wisconsin",Milwaukee,Wisconsin,577225,576511,565840,563305,-87.922497,43.0349931
31,32,"Albuquerque city, New Mexico",Albuquerque,New Mexico,564581,564855,563108,561008,-106.650985,35.0841034
32,33,"Tucson city, Arizona",Tucson,Arizona,542656,542676,541234,546574,-110.9748477,32.2228765
33,34,"Fresno city, California",Fresno,California,542252,542447,543910,545567,-119.7848307,36.7394421
34,35,"Sacramento city, California",Sacramento,California,524924,525668,525951,528001,-121.493895,38.5810606
35,36,"Mesa city, Arizona",Mesa,Arizona,504300,505863,509339,512498,-111.8314552,33.4151005
36,37,"Kansas City city, Missouri",Kansas City,Missouri,507971,508183,508949,509297,-94.5781416,39.100105
37,38,"Atlanta city, Georgia",Atlanta,Georgia,498722,499868,492667,499127,-84.3902644,33.7489924
38,39,"Colorado Springs city, Colorado",Colorado Springs,Colorado,479016,480292,483328,486248,-104.825348,38.8339578
39,40,"Omaha city, Nebraska",Omaha,Nebraska,491743,492601,488508,485153,-95.9383758,41.2587459
40,41,"Raleigh city, North Carolina",Raleigh,North Carolina,467762,464320,469892,476587,-78.6390989,35.7803977
41,42,"Virginia Beach city, Virginia",Virginia Beach,Virginia,459471,459646,458680,455618,-75.9774183,36.8529841
42,43,"Long Beach city, California",Long Beach,California,466775,465448,454334,451307,-118.191604,33.7690164
43,44,"Miami city, Florida",Miami,Florida,442260,442799,441999,449514,-80.19362,25.7741728
